Year,Group,Sample,SampID,GSample,Drain,Zone,ZoneSimp,Type,Type2,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,Microplastics_fragments,Microplastics_fibres,Microplastics_other,microbeads,MP_total,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn
2019,1,1,2019_1_1,1_1,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399989,6468038,115.9421362,-31.9191471,NA,NA,NA,7.62,3.25,2000,11000,1000,NA,14000,8996,4.76,26.5,5180,0.188,11.4,29.4,11,19,28836,NA,1.24,889,8.4,6,3378,79,2.29,14530,4.7,9.4,630,31.1,NA,32366,NA,61,2.1,NA,17.7,3,4176.9
2019,1,2,2019_1_2,1_2,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399981,6468037,115.9420515,-31.91915542,NA,NA,NA,7.15,5.37,NA,3000,2000,NA,5000,37131,6.05,68,3283,0.626,93,19.7,80.4,75.8,44687,NA,6.51,3266,48.6,37.8,5395,46,5.37,19144,36.6,24.4,544,43.2,NA,17944,NA,84,15.7,NA,82.5,23,1215.1
2019,1,3,2019_1_3,1_3,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399971,6468035,115.9419455,-31.91917258,NA,NA,NA,5.59,11.65,3500,NA,NA,NA,3500,28699,3.12,50.5,4433,0.151,81.6,9.3,50.6,54.7,48561,NA,5.73,3091,41.5,27.7,8368,56,2.75,38388,32.5,21.5,419,32,NA,13923,NA,89,15.3,NA,68.6,20.4,417.9
2019,1,4,2019_1_4,1_4,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399958,6468028,115.9418073,-31.91923458,NA,NA,NA,4.95,8.82,NA,NA,1500,NA,1500,33882,NA,93.7,2842,0.092,81,9,65.4,62.9,53061,NA,5.9,2984,41.9,27.7,5790,54,3.05,21379,33.1,22,533,41.8,NA,9875,NA,73,18.6,NA,83.8,18.1,269.6
2019,1,5,2019_1_5,1_5,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399944,6468023,115.9416587,-31.91927845,NA,NA,NA,4.01,8.56,1500,500,NA,NA,2000,31222,6.95,61.2,3054,0.047,82.9,6.7,55.1,50.5,71546,NA,6.9,3107,41.5,28.2,5125,41,4.52,22023,34.9,19.7,744,34.7,NA,8538,NA,83,12.4,NA,89,20.2,172.8
2019,1,6,2019_1_6,1_6,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399930,6468017,115.94151,-31.91933134,NA,NA,NA,4.84,13.09,NA,1500,NA,NA,1500,34765,3.61,65.1,4218,0.03,72.5,7.4,55.5,58.3,38441,NA,5.39,2969,35.4,33.3,6137,38,3.42,28149,29,18.4,465,36.9,NA,8913,NA,103,16,NA,72.3,17.2,176.1
2019,1,7,2019_1_7,1_7,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399919,6468014,115.9413934,-31.91935743,NA,NA,NA,4.89,24.34,3000,1000,1000,NA,5000,27926,4.69,73.9,5528,0.06,64.5,8.5,52.2,59.9,59783,NA,5.02,2820,33.2,26.2,5928,38,4.96,25058,27.1,17.1,765,39.4,NA,16097,NA,149,14.6,NA,83.9,15.3,184.6
2019,1,8,2019_1_8,1_8,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399908,6468006,115.9412762,-31.91942862,NA,NA,NA,5.16,6.63,3000,500,1000,NA,4500,29650,4.27,44.4,6204,0.054,59,6.2,50.5,56.4,37017,NA,4.57,2957,29.3,30.4,6864,35,3.87,38663,24.7,17.4,457,36.1,NA,12093,NA,105,14.8,NA,69.8,13.8,134
2019,1,9,2019_1_9,1_9,Kitchener,NA,NA,Lake_Sed,Lake_Sed,399971,6468021,115.9419441,-31.91929887,NA,NA,NA,NA,NA,500,NA,NA,NA,500,17946,6.65,44.7,4699,0.263,30.2,16.7,30.9,51.1,135488,NA,5.29,2715,18.7,16.2,8722,51,5.14,51442,17,22.8,698,25.2,NA,46641,NA,98,7.8,NA,63,9.9,800.8
2019,2,1,2019_2_1,2_1,Kitchener,NA,NA,Drain_Sed,Drain_Sed_Tidal,399981,6468052,115.942053,-31.91902011,0,15,5,6.67,12.94,19500,2000,NA,NA,21500,4114,1.66,9.4,2304,0.059,4.6,9.7,4.1,NA,9255,NA,0.66,435,3.2,3,1773,22,0.47,10234,2,3.8,284,9.6,NA,10266,NA,27,1,NA,6,1.1,1259.4
