Depth_[m],Depth_top_[m],Depth_bot_[m],Mode,D50,Grain_size_mean,Sort,Q90,Q99,F_0.06,F_0.07,F_0.08,F_0.09,F_0.11,F_0.13,F_0.15,F_0.17,F_0.2,F_0.23,F_0.27,F_0.31,F_0.36,F_0.42,F_0.49,F_0.58,F_0.67,F_0.78,F_0.91,F_1.06,F_1.24,F_1.44,F_1.68,F_1.95,F_2.28,F_2.65,F_3.09,F_3.6,F_4.19,F_4.88,F_5.69,F_6.63,F_7.72,F_9,F_10.48,F_12.21,F_14.22,F_16.57,F_19.31,F_22.49,F_26.2,F_30.53,F_35.56,F_41.43,F_48.27,F_56.23,F_65.51,F_76.32,F_88.91,F_103.58,F_120.67,F_140.58,F_163.77,F_190.8,F_222.28,F_258.95,F_301.68,F_351.46,F_409.45,F_477.01,F_555.71,F_647.41,F_754.23,F_878.67
0.055,0.052,0.057,4.67,4.05,6.44,2.2,18.36,74.57,0,0,0.01,0.01,0.03,0.08,0.16,0.3,0.51,0.8,1.13,1.41,1.54,1.55,1.54,1.52,1.47,1.48,1.63,1.82,2.09,2.46,2.88,3.32,3.82,4.31,4.78,5.16,5.43,5.55,5.5,5.31,5.05,4.45,3.79,3.15,2.58,2.13,1.8,1.57,1.4,1.26,1.12,0.96,0.79,0.61,0.45,0.32,0.23,0.16,0.12,0.1,0.09,0.09,0.08,0.06,0.04,0,0,0,0,0,0,0
0.06,0.057,0.062,24.07,14.41,19.63,2.28,49.26,98.39,0,0,0.01,0.02,0.03,0.07,0.12,0.19,0.29,0.41,0.53,0.62,0.65,0.64,0.62,0.6,0.56,0.55,0.59,0.65,0.72,0.83,0.95,1.1,1.27,1.48,1.71,1.98,2.28,2.61,2.94,3.28,3.62,3.95,4.27,4.57,4.84,5.08,5.27,5.4,5.5,5.33,4.99,4.5,3.89,3.2,2.5,1.85,1.3,0.86,0.54,0.21,0,0,0,0,0,0,0,0,0,0,0,0
0.066,0.062,0.07,51.15,30.55,38.58,2.28,92.71,172.76,0,0,0,0,0.01,0.02,0.04,0.08,0.14,0.23,0.34,0.43,0.48,0.47,0.46,0.44,0.4,0.38,0.4,0.42,0.47,0.53,0.61,0.7,0.8,0.93,1.07,1.22,1.37,1.53,1.67,1.82,1.96,2.12,2.31,2.54,2.84,3.22,3.66,4.14,4.63,5.09,5.49,5.79,5.99,6.12,5.8,5.24,4.51,3.66,2.8,1.99,1.31,0.79,0.44,0.09,0,0,0,0,0,0,0,0
0.108,0.105,0.11,24.34,16.56,26.29,2.51,72.56,171.14,0,0,0.01,0.01,0.03,0.06,0.1,0.16,0.24,0.34,0.43,0.5,0.52,0.51,0.5,0.48,0.46,0.46,0.5,0.56,0.64,0.75,0.88,1.03,1.23,1.46,1.73,2.02,2.33,2.64,2.92,3.18,3.42,3.62,3.81,3.99,4.17,4.33,4.46,4.55,4.58,4.57,4.52,4.32,4.04,3.69,3.29,2.84,2.39,1.94,1.53,1.17,0.87,0.64,0.4,0.17,0,0,0,0,0,0,0,0
0.113,0.11,0.115,29.36,20.88,34.9,2.61,99.63,239.09,0,0,0.01,0.01,0.03,0.05,0.09,0.15,0.22,0.31,0.4,0.46,0.48,0.47,0.44,0.42,0.39,0.38,0.42,0.46,0.53,0.61,0.72,0.85,1.02,1.22,1.45,1.71,1.98,2.26,2.52,2.76,2.98,3.19,3.39,3.58,3.77,3.96,4.13,4.28,4.37,4.41,4.4,4.34,4.25,4.01,3.72,3.38,3.02,2.64,2.26,1.9,1.57,1.26,0.99,0.73,0.46,0.19,0,0,0,0,0,0
0.119,0.115,0.122,45.51,28.9,50.59,2.86,149.3,367.19,0,0.01,0.01,0.02,0.04,0.07,0.11,0.16,0.22,0.3,0.36,0.41,0.42,0.41,0.39,0.37,0.36,0.35,0.39,0.43,0.5,0.58,0.67,0.79,0.94,1.11,1.31,1.52,1.73,1.94,2.12,2.27,2.41,2.53,2.65,2.79,2.96,3.14,3.35,3.57,3.77,3.95,4.09,4.18,4.22,4.21,4.17,3.97,3.7,3.38,3.02,2.66,2.31,2,1.72,1.48,1.24,0.98,0.69,0.41,0.12,0,0,0
0.126,0.124,0.128,37.84,18.07,29.46,2.76,82.41,178.76,0,0,0.01,0.02,0.03,0.06,0.1,0.17,0.25,0.35,0.45,0.53,0.56,0.55,0.54,0.53,0.51,0.53,0.59,0.67,0.77,0.89,1.03,1.18,1.36,1.56,1.78,2.02,2.26,2.5,2.71,2.89,3.05,3.2,3.33,3.46,3.6,3.76,3.91,4.06,4.18,4.27,4.33,4.38,4.28,4.08,3.78,3.4,2.95,2.46,1.98,1.52,1.13,0.82,0.5,0.18,0,0,0,0,0,0,0,0
0.13,0.128,0.132,85.36,46.33,59.06,2.6,144.04,241.96,0,0,0,0,0.01,0.02,0.04,0.07,0.12,0.19,0.27,0.33,0.36,0.36,0.35,0.34,0.32,0.31,0.33,0.36,0.41,0.47,0.55,0.63,0.74,0.86,1,1.15,1.3,1.44,1.57,1.68,1.78,1.87,1.97,2.07,2.2,2.35,2.52,2.72,2.96,3.24,3.58,3.97,4.41,4.86,5.29,5.68,6.03,5.92,5.51,4.8,3.91,2.94,2.04,1.28,0.52,0,0,0,0,0,0,0
0.179,0.176,0.181,16.6,14.98,28.53,2.57,87.36,267.45,0,0,0.01,0.01,0.03,0.05,0.09,0.15,0.23,0.32,0.41,0.48,0.51,0.51,0.5,0.48,0.46,0.46,0.5,0.55,0.63,0.74,0.88,1.06,1.29,1.56,1.88,2.22,2.58,2.92,3.24,3.52,3.75,3.94,4.09,4.19,4.27,4.31,4.31,4.26,4.16,4.01,3.84,3.56,3.26,2.94,2.63,2.34,2.06,1.81,1.58,1.37,1.19,1.03,0.9,0.76,0.59,0.38,0.17,0,0,0,0,0
0.184,0.181,0.187,22.39,17.86,32.19,2.63,95.51,267.65,0,0,0.01,0.01,0.03,0.05,0.09,0.14,0.22,0.3,0.39,0.45,0.48,0.47,0.46,0.44,0.41,0.4,0.44,0.48,0.55,0.65,0.78,0.94,1.15,1.4,1.68,1.99,2.3,2.61,2.89,3.14,3.36,3.55,3.71,3.86,3.99,4.11,4.21,4.26,4.25,4.2,4.11,3.99,3.77,3.5,3.21,2.89,2.57,2.24,1.92,1.62,1.35,1.13,0.94,0.75,0.57,0.38,0.19,0,0,0,0,0
0.19,0.187,0.193,30.96,21.69,38.36,2.77,112.12,267.54,0,0,0.01,0.01,0.03,0.05,0.09,0.15,0.22,0.31,0.39,0.45,0.47,0.46,0.44,0.41,0.38,0.37,0.41,0.45,0.52,0.62,0.74,0.88,1.06,1.28,1.52,1.79,2.06,2.31,2.55,2.76,2.94,3.1,3.25,3.4,3.56,3.71,3.85,3.96,4.04,4.08,4.09,4.06,4,3.92,3.75,3.53,3.26,2.94,2.57,2.19,1.82,1.49,1.21,0.94,0.66,0.39,0.11,0,0,0,0,0
0.198,0.195,0.2,30.48,22.32,40.29,2.83,119.22,286.85,0,0.01,0.01,0.02,0.04,0.07,0.12,0.17,0.25,0.32,0.4,0.44,0.46,0.44,0.42,0.4,0.38,0.38,0.42,0.48,0.55,0.64,0.76,0.9,1.08,1.29,1.52,1.77,2.02,2.26,2.48,2.67,2.84,2.99,3.14,3.3,3.46,3.62,3.77,3.9,3.99,4.03,4.03,3.99,3.93,3.84,3.69,3.51,3.29,3.01,2.69,2.33,1.96,1.61,1.3,1.04,0.78,0.52,0.26,0,0,0,0,0
0.225,0.2,0.25,62.15,32.58,48.65,2.77,130.99,283.22,0,0.01,0.01,0.02,0.04,0.06,0.1,0.15,0.21,0.28,0.35,0.4,0.41,0.4,0.39,0.37,0.36,0.35,0.38,0.42,0.48,0.56,0.65,0.77,0.91,1.08,1.26,1.45,1.63,1.8,1.95,2.08,2.19,2.29,2.4,2.53,2.7,2.89,3.11,3.35,3.61,3.87,4.13,4.36,4.57,4.73,4.88,4.81,4.58,4.21,3.71,3.13,2.54,1.98,1.5,1.11,0.81,0.5,0.2,0,0,0,0,0
