"LOCATION","MAP_NAME","Longitude","Latitude","Easting","Northing","UTMZone","HOLE","DEPTH_M","ROCK_TYPE","SiO2","TiO2","Al2O3","Fe2O3","FeO","MnO","MgO","CaO","Na2O","K2O","P2O5","LOI","H2O","CO2","Rock"
"BOORABBIN","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",3.35,"BASALT",49.1,1.04,15.1,0.9,10.6,0.2,7.9,7.1,3.2,0.8,0.12,0.01,3.1,1,"Basalt"
"NORSEMAN","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",4.26,"BASALT",50.2,0.97,16.4,0.8,7.7,0.2,4.5,11.5,3.7,0.94,0.09,0.01,1.5,1.3,"Basalt"
"NORSEMAN","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",5.48,"BASALT",50.2,0.92,15,1.7,8.6,0.28,4.9,10.1,3.8,0.21,0.14,0.01,1.6,1.3,"Basalt"
"KOOKYNIE","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",5.94,"BASALT",50.5,0.91,15,1.9,8.9,0.21,7.1,9.7,2.9,0.33,0.1,0.01,1.7,0.3,"Basalt"
"YOUANMI","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",7.62,"BASALT",52.2,0.92,15.5,4.2,8.8,0.26,5,9.1,2.9,0.27,0.11,0.01,1.5,1,"Basalt"
"WIDGIEMOOLTHA","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",9.75,"BASALT",54,0.87,15.5,2.1,9.7,0.24,4.2,8.6,2.7,0.18,0.07,0.01,1.2,0.2,"Basalt"
"WIDGIEMOOLTHA","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",10.66,"BASALT",49,0.88,14.8,1.6,8.5,0.35,3.8,13.8,1.9,0.25,0.17,0.01,1.4,3.9,"Basalt"
"YOUANMI","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",15.39,"BASALT",49,0.93,15.9,0.1,10.5,0.34,4.2,12.8,1.4,0.19,0.19,0.01,1.5,3.1,"Basalt"
"WIDGIEMOOLTHA","LAVERTON",121.76,-28.97,379970.9,6794486,51,"9",22.25,"BASALT",47.3,1.41,14.4,3.2,10.7,0.25,5.2,10.3,3.43,0.12,0.14,0.01,3,0.3,"Basalt"
"WIDGIEMOOLTHA","NORSEMAN",121.79,-32.19,386163.2,6436744,51,"CU52",25.6,"BASALT",52,0.92,15.6,0.8,10.4,0.3,4.6,9.7,1.8,0.28,0.13,0.01,2.1,1.4,"Basalt"
"CUE","NORSEMAN",121.77,-32.19,384872.9,6437376,51,"C55",30.48,"BASALT",51.8,0.95,14.7,1.7,8.9,0.2,4.6,12.6,2.2,0.23,0.16,0.01,1,1,"Basalt"
"JACKSON","NORSEMAN",121.78,-32.19,385056.2,6437378,51,"C54",30.48,"BASALT",49.3,0.79,15.3,0.7,9.8,0.22,9,10.3,2.6,0.13,0.15,0.01,1.5,0.01,"Basalt"
"KOOKYNIE","YOUANMI",119.93,-28.87,786673.6,6802854,50,"BL3",34.22,"BASALT",53.1,0.74,12.3,1.7,7.2,0.22,7.4,12.4,3,0.12,0.11,0.01,1.7,0.5,"Basalt"
"NORSEMAN","NORSEMAN",121.77,-32.19,384768.1,6437375,51,"C56",35.05,"BASALT",50.3,1.04,16.3,0.8,9.1,0.25,4.7,12.3,2.6,0.19,0.16,0.01,1.9,0.1,"Basalt"
"NORSEMAN","JACKSON",118.95,-30.59,686978.8,6613249,50,"DJ1",36.57,"BASALT",52.1,0.6,15,1.4,7.9,0.17,7.8,8.3,3.52,0.46,0.08,0.01,2.6,0.1,"Basalt"
"NORSEMAN","YOUANMI",119.93,-28.87,786673.6,6802854,50,"BL2",40.38,"BASALT",51.4,0.8,15,1.4,8.4,0.26,7.8,11,2.19,0.16,0.11,0.01,1.7,0.01,"Basalt"
"NORSEMAN","YOUANMI",119.93,-28.87,786673.6,6802854,50,"BL7",40.53,"BASALT",53,0.73,13.8,1.1,7.5,0.17,7.9,10.6,3.11,0.12,0.03,0.01,1.3,0.2,"Basalt"
"NORSEMAN","LAVERTON",121.76,-28.97,379970.9,6794486,51,"9",45.41,"BASALT",46,1.34,14.1,3.6,10.4,0.28,5.7,11.9,2.82,0.02,0.17,0.01,3.3,0.3,"Basalt"
