Profile,Year,Landform,subLandform,LF3,LF5,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Depth.cat,Gravel.pct,Sand.corr,Silt.corr,Clay.corr
1,2015,Upper_slope,NA,Erosional,US,498504,6406727,116.984079,-32.4766694,A1,A,0-15,0,15,7.5,5,11.07738605,78.2,7.1,3.6
1,2015,Upper_slope,NA,Erosional,US,498504,6406727,116.984079,-32.4766694,B1,B,15-35,15,35,25,25,12.32239767,71.9,10.5,5.3
1,2015,Upper_slope,NA,Erosional,US,498504,6406727,116.984079,-32.4766694,B2,B2,35-50,35,50,42.5,50,13.40173218,67.5,6.3,12.8
1,2015,Upper_slope,NA,Erosional,US,498504,6406727,116.984079,-32.4766694,B3,B3,50-80,50,80,65,70,8.216014078,50.3,20.2,21.3
2,2015,Upper_slope,NA,Erosional,US,498440,6406561,116.983398,-32.4781668,A1,A,0-15,0,15,7.5,5,14.87414336,71.7,11.9,1.5
2,2015,Upper_slope,NA,Erosional,US,498440,6406561,116.983398,-32.4781668,B1,B,15-25,15,25,20,25,15.90049751,75.1,4.6,4.4
2,2015,Upper_slope,NA,Erosional,US,498440,6406561,116.983398,-32.4781668,B2,B2,25-45,25,45,35,35,17.05659579,72.1,4.6,6.2
2,2015,Upper_slope,NA,Erosional,US,498440,6406561,116.983398,-32.4781668,B3,B3,45-60,45,60,52.5,50,12.92724908,73.6,4.8,8.7
3,2015,Valley_floor,Lower_slope,Depositional,VF,499026,6406415,116.989634,-32.4794845,A1,A,0-20,0,20,10,15,0.1,78.5,9.25,12.25
3,2015,Valley_floor,Lower_slope,Depositional,VF,499026,6406415,116.989634,-32.4794845,B1,B,20-30,20,30,25,25,0.1,73,7.25,19.75
3,2015,Valley_floor,Lower_slope,Depositional,VF,499026,6406415,116.989634,-32.4794845,B2,B2,30-50,30,50,40,50,0.1,80,5.25,14.75
4,2015,Valley_floor,Lower_slope,Depositional,VF,498987,6406365,116.989219,-32.4799356,Ap,A,0-27.5,0,27.5,13.75,15,0.1,84.25,8.5,7.25
4,2015,Valley_floor,Lower_slope,Depositional,VF,498987,6406365,116.989219,-32.4799356,E,A2,23-50,23,50,36.5,35,0.1,82.75,9.75,7.5
4,2015,Valley_floor,Lower_slope,Depositional,VF,498987,6406365,116.989219,-32.4799356,B1,B,50-85,50,85,67.5,70,0.1,65,16,19
5,2015,Residual,NA,Residual,RE,498600,6406830,116.985101,-32.4757403,A1,A,0-20,0,20,10,15,0.1,80,7.75,12.25
5,2015,Residual,NA,Residual,RE,498600,6406830,116.985101,-32.4757403,B1,B,20-50,20,50,35,35,0.1,65,19.25,15.75
5,2015,Residual,NA,Residual,RE,498600,6406830,116.985101,-32.4757403,B2,B2,50-80,50,80,65,70,0.1,57.5,33.25,9.25
6,2015,Upper_slope,Mid_slope,Erosional,US,499879,6406404,116.998712,-32.4795842,Ap,A,2-Mar,2,3,2.5,5,3.55,72.3,12.1,12.1
6,2015,Upper_slope,Mid_slope,Erosional,US,499879,6406404,116.998712,-32.4795842,E,A2,Mar-15,3,15,9,5,6.73,67.6,14,11.7
6,2015,Upper_slope,Mid_slope,Erosional,US,499879,6406404,116.998712,-32.4795842,B,B,15-30,15,30,22.5,25,34.53,49.1,11.5,4.9
7,2015,Residual,NA,Residual,RE,499705.064,6406558.051,116.996861,-32.478194,O,NA,0-5,0,5,2.5,5,2.4,85.4,9.8,2.4
7,2015,Residual,NA,Residual,RE,499705.064,6406558.051,116.996861,-32.478194,A,A,5-Dec,5,12,8.5,5,4.03,88.8,7.2,0.1
7,2015,Residual,NA,Residual,RE,499705.064,6406558.051,116.996861,-32.478194,B,B,Dec-24,12,24,18,15,18.42,79.6,0.1,2
8,2015,Residual,NA,Residual,RE,499313.553,6406613.457,116.992695,-32.4776941,A,A,0-15,0,15,7.5,5,24.6,67.9,3.8,3.8
8,2015,Residual,NA,Residual,RE,499313.553,6406613.457,116.992695,-32.4776941,B1,B,15-40,15,40,27.5,25,45.85,46,5.4,2.7
8,2015,Residual,NA,Residual,RE,499313.553,6406613.457,116.992695,-32.4776941,B2,B2,40-80,40,80,60,70,1.08,91.5,2.5,4.9
9,2015,Residual,NA,Residual,RE,499579.785,6406484.146,116.995528,-32.4788615,A,A,0-20,0,20,10,15,37.54,45.3,6.2,10.9
9,2015,Residual,NA,Residual,RE,499579.785,6406484.146,116.995528,-32.4788615,B,B,20-40,20,40,30,35,56.35,30.5,2.2,10.9
10,2015,Lower_slope,NA,Erosional,LS,500015,6405982,117.00016,-32.4833911,Ap,A,0-10,0,10,5,5,17,69,6,8
10,2015,Lower_slope,NA,Erosional,LS,500015,6405982,117.00016,-32.4833911,B,B,Oct-20,10,20,15,15,42,46.4,5.5,6.1
10,2015,Lower_slope,NA,Erosional,LS,500015,6405982,117.00016,-32.4833911,B2,B2,20-60,20,60,40,50,18,63.8,11.6,6.6
11,2015,Valley_floor,NA,Depositional,VF,499989,6406157,116.999883,-32.4818124,Ap,A,0-15,0,15,7.5,5,13,75.4,4.5,7.2
11,2015,Valley_floor,NA,Depositional,VF,499989,6406157,116.999883,-32.4818124,E,A2,15-30,15,30,22.5,25,16,73.2,7.2,3.6
11,2015,Valley_floor,NA,Depositional,VF,499989,6406157,116.999883,-32.4818124,B1,B,30-60,30,60,45,50,26,68.5,3,2.5
11,2015,Valley_floor,NA,Depositional,VF,499989,6406157,116.999883,-32.4818124,B2,B2,60-100,60,100,80,90,11,80.6,2.9,5.6
12,2015,Mid-slope,NA,Erosional,MS,499969,6407026,116.99967,-32.4739731,Ap,A,0-25,0,25,12.5,15,31,56.2,6,6.8
