"Code","Group","Sample.ID","Type","Easting","Northing","Longitude","Latitude","Location","Depth_min","Depth_max","pH","EC","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"CVR_1_1",1,"1","Soil",391064,6466753,115.8476033,-31.92991688,"Charles Veryard Reserve (CVR)",0,0.1,7.14,215.1,2112,2.17,12.03,14339,0.08,1.92,7.68,4.63,2581,0.24,74.8,1.44,676.28,16.59,0.15,163.4,0.66,2.82,134.8,27.14,164.67,88.66,1.04,5.36,1.02,40.1
"CVR_1_2",1,"2","Soil",391074,6466745,115.8477082,-31.92999,"Charles Veryard Reserve (CVR)",0,0.1,6.71,224.1,2136,1.75,7.61,1191,0.06,2.39,5.31,3.49,1711,0.38,82.9,1.08,192.4,7.86,0.15,63.8,1.31,1.2,124,13.07,143.5,6.05,NA,3.49,0.78,27.56
"CVR_1_3",1,"3","Soil",391148,6466744,115.8484908,-31.93000612,"Charles Veryard Reserve (CVR)",0,0.1,5.99,143,2145,1.92,10.65,1399,0.08,3.19,6.25,3.63,1893,0.55,95.6,1.29,229.38,24.49,0.17,98.6,1.24,0.74,166.1,17.39,202.44,7.22,0.64,3.97,1.05,52.5
"CVR_1_4",1,"4","Soil",391134,6466729,115.848341,-31.93014008,"Charles Veryard Reserve (CVR)",0,0.1,6,216,2375,1.58,8.34,776,0.05,4.92,6.06,2.56,1889,0.61,106.5,1.81,197.13,23.29,0.13,75.6,2.12,2.51,135.2,9.4,170.12,4.24,0.48,4.35,0.93,24.89
"CVR_1_5",1,"5","Soil",391211,6466740,115.8491567,-31.93004824,"Charles Veryard Reserve (CVR)",0,0.1,5.91,74.3,2345,1.87,7.39,9885,0.04,4.12,8.21,2.45,1952,0.54,64.2,1.82,555.16,21.66,0.11,114.8,1.08,1.8,144.3,8.79,179.11,65.88,0.92,4.56,1.47,30.49
"CVR_1_6",1,"6","Soil",391173,6466746,115.8487554,-31.92999047,"Charles Veryard Reserve (CVR)",0,0.1,5.28,203,2181,1.84,7.84,1589,0.1,4.03,5.58,3.1,1818,0.33,128.3,1.61,221.18,24.62,0.35,91.9,1.7,0.94,128.7,10.24,171.97,10.16,0.61,3.92,1.13,31.33
"CVR_1_7",1,"7","Soil",391235,6466723,115.8494086,-31.93020388,"Charles Veryard Reserve (CVR)",0,0.1,6.62,835,2701,2.56,11.83,2557,0.13,4.82,7.26,5.1,2650,0.44,139.3,1.9,296.89,30.52,0.25,84.5,1.68,1.46,193.6,21.91,187.81,15.23,0.95,5.41,1.45,58.33
"SLR_1_Sed1",1,"Sed1","Sediment",391386,6466437,115.8509736,-31.93279808,"Smith's Lake Reserve (SLR)",0,0.1,6.14,NA,1713,1.59,5.74,497,NA,3.14,3.82,6.26,1985,0.73,98.5,1.71,145.61,8.45,0.2,55.8,2.25,3.2,85.2,17.88,191.92,2.35,0.83,4.45,1.75,14.83
"SLR_1_Sed2",1,"Sed2","Sediment",391377,6466450,115.8508799,-31.93267996,"Smith's Lake Reserve (SLR)",0,0.1,6.1,NA,1446,0.48,3.99,393,0.05,2.32,3.25,3.73,1085,0.43,52,1.17,94.81,6.15,0.13,53.4,1.76,0.71,36.4,11.26,112.51,2.34,0.56,2.9,0.97,7.39
"CVR_2_1",2,"1","Soil",391225.7,6466771,115.8493156,-31.92977002,"Charles Veryard Reserve (CVR)",0,0.1,6.78,203.1,3227,2.28,9.79,1038,0.07,5.55,8.3,3.55,2527,0.7,154.9,2.41,302.32,35.5,0.4,113.5,2.2,2.07,200.1,11.9,342.62,5.07,0.65,5.4,1.5,26.63
