Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,ROCK_TYPE,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,H2O,CO2,chk1,chk2,Ba,Co,Cr,Cu,Li,Ga,Nb,Ni,Rb,Sr,V,Y,Zn,Zr
341,2189,KALGOORLIE,KALGOORLIE,317045.4,6586644,51,144,5,1.52,,,SPIN PERIDOTITE,RWN,"RW Nesbitt, 1971",ADU,45.9,0.24,5.2,11.6,0.005,0.21,30.7,5.9,0.4,0.01,0.02,6,0,0,11,10,2,108,2870,NA,NA,NA,1,1628,1,19,112,6,NA,13
342,2190,KALGOORLIE,KALGOORLIE,317045.4,6586644,51,144,25,7.62,,,SPIN PERIDOTITE,RWN,"RW Nesbitt, 1971",ADU,45.2,0.29,6.2,12.8,0.005,0.21,28.6,5.9,0.6,0.04,0.02,6.4,0,0,11,10,3,107,3070,NA,NA,NA,1,1396,3,20,124,6,NA,16
340,2183,KALGOORLIE,KALGOORLIE,317045.4,6586644,51,144,42,12.8,LCT,,SPIN PERIDOTITE,RWN,"RW Nesbitt, 1971",ADU,45.6,0.3,6.3,11.9,0.005,0.23,29.1,6.1,0.58,0.03,0.02,6.3,0,0,11,10,9,98,3200,NA,NA,NA,1,1322,4,24,133,6,NA,16
243,1227,EULAMINNA,LAVERTON,379970.9,6794486,51,9,73,22.25,PU,porphyritic; uralitized,BASALT,JAH,JA Hallberg,CSIR,47.3,1.41,14.4,3.2,10.7,0.25,5.2,10.3,3.43,0.12,0.14,0.005,3,0.3,13,10,75,63,107,110,NA,NA,NA,80,NA,138,368,45,110,80
1040,59,NORSEMAN,NORSEMAN,384872.9,6437376,51,C55,100,30.48,U,uralitized,BASALT,JAH,JA Hallberg,UWA,51.8,0.95,14.7,1.7,8.9,0.2,4.6,12.6,2.2,0.23,0.16,0.005,1,1,13,11,NA,60,375,134,3,NA,NA,154,1,96,299,22,95,61
1044,63,NORSEMAN,NORSEMAN,385056.2,6437378,51,C54,100,30.48,U,uralitized,BASALT,JAH,JA Hallberg,UWA,49.3,0.79,15.3,0.7,9.8,0.22,9,10.3,2.6,0.13,0.15,0.005,1.5,0,12,11,NA,59,395,72,9,NA,NA,172,4,112,313,17,99,50
1012,31,NORSEMAN,NORSEMAN,383597.6,6436684,51,C111,108,32.91,U,uralitized,GABBRO,JAH,JA Hallberg,UWA,49.8,1.23,16.4,1.4,9.4,0.18,6.2,10.1,2.9,0.39,0.16,0.005,1.4,0.1,13,11,NA,63,130,116,9,NA,NA,87,27,112,399,26,102,65
1796,1122,YOUANMI,YOUANMI,786673.6,6802854,50,BL3,112.3,34.22,R,recrystallized,BASALT,JAH,JA Hallberg,CSIR,53.1,0.74,12.3,1.7,7.2,0.22,7.4,12.4,3,0.12,0.11,0.005,1.7,0.5,13,11,46,70,332,33,NA,NA,NA,110,3,60,304,14,100,45
1035,54,NORSEMAN,NORSEMAN,384768.1,6437375,51,C56,115,35.05,U,uralitized,BASALT,JAH,JA Hallberg,UWA,50.3,1.04,16.3,0.8,9.1,0.25,4.7,12.3,2.6,0.19,0.16,0.005,1.9,0.1,13,11,NA,61,470,110,9,NA,NA,173,7,124,306,26,105,65
289,1100,JACKSON,JACKSON,686978.8,6613249,50,DJ1,120,36.57,R,recrystallized,BASALT,JAH,JA Hallberg,CSIR,52.1,0.6,15,1.4,7.9,0.17,7.8,8.3,3.52,0.46,0.08,0.005,2.6,0.1,13,12,NA,47,192,152,NA,8,9,120,3,79,310,31,75,38
1794,1120,YOUANMI,YOUANMI,786673.6,6802854,50,BL2,132.5,40.38,R,recrystallized,BASALT,JAH,JA Hallberg,CSIR,51.4,0.8,15,1.4,8.4,0.26,7.8,11,2.19,0.16,0.11,0.005,1.7,0,12,11,28,68,359,62,NA,NA,NA,118,12,113,321,17,240,59
1805,1131,YOUANMI,YOUANMI,786673.6,6802854,50,BL7,133,40.53,R,recrystallized,BASALT,JAH,JA Hallberg,CSIR,53,0.73,13.8,1.1,7.5,0.17,7.9,10.6,3.11,0.12,0.03,0.005,1.3,0.2,13,12,48,50,329,102,NA,NA,4,89,6,101,297,15,80,42
1615,2249,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373806.6,6546326,51,KD 1,135,41.14,CTS,chlorite tremolite schist,HIGH MG BASALTX,ROS,,KR 46,41.3,0.43,9.1,4.6,7.5,0.22,22.6,6.4,0.08,0.01,0.01,0.005,7,0.1,13,12,5,114,2440,1,NA,10,NA,925,1,5,127,8,84,23
167,1475,CUE,CUE,608359.1,6949169,50,YD1,138,42.06,MU,,DOLERITE,JAH,JA Hallberg,CSIR,52,1.17,13.8,2.1,10.3,0.14,6.1,7,4,0.29,0.18,0.005,2.2,0,12,12,114,68,49,53,NA,NA,5,71,10,161,263,22,78,96
1063,82,NORSEMAN,NORSEMAN,385422.7,6437382,51,C59,150,45.72,R,recrystallized,GABBRO,JAH,JA Hallberg,UWA,51.9,1,15.1,1.4,9.8,0.25,6.2,9.4,3.2,0.21,0.14,0.005,1.1,0.2,13,11,NA,52,285,102,5,NA,NA,88,15,55,333,23,137,56
1798,1124,YOUANMI,YOUANMI,786627.8,6801006,50,BL4,153,46.63,PU,porphyritic; uralitized,BASALT,JAH,JA Hallberg,CSIR,52.1,0.85,14,1.4,8.4,0.17,7.7,11.6,2.65,0.18,0.05,0.005,1.3,0,12,11,64,59,390,12,NA,NA,NA,109,5,155,335,17,77,51
1712,2251,WIDGIEMOOLTHA,WIDGIEMOOLTHA,373806.6,6546326,51,KD 1,155,47.24,TCC,,PERIDOTITE,ROS,,,42.4,0.21,4.4,4.7,3.6,0.09,28.6,3.4,0.01,0,0.02,0.005,4.7,7.5,12,12,5,121,1700,38,NA,5,NA,1760,1,20,67,2,0.56,11
1638,2282,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374547.6,6546334,51,KD21,171,52.12,TCC,,PERIDOTITE,ROS,,,37.9,0.25,5.7,1.1,8.4,0.18,25.5,5.3,0.15,0.02,0.02,0.005,6.6,8.4,13,12,3,116,2320,10,NA,6,NA,1580,1,31,111,3,67,15
