Country,CountName,Region_coarse,Region,Climate,Koppen,Koppen2,Ara,For,Mea,Oth
AFG,Afghanistan,W Asia,W Asia,arid,dry,continental,12.281,1.853,45.996,39.87
ALB,Albania,Europe,S Europe,mild,temperate,temperate,25.401,28.792,17.445,28.288
DZA,Algeria,Africa,N Africa,arid,dry,dry,3.576,0.814,13.789,81.821
ASM,American Samoa,Oceania,Oceania,tropical,tropical,tropical,19.7,85.8,0.35,0.01
AND,Andorra,Europe,S Europe,temperate,temperate,temperate,1.702,34.043,38.298,25.957
AGO,Angola,Africa,S Africa,semiarid,dry,tropical,4.183,53.872,41.5,0.445
AIA,Anguilla,Caribbean,Caribbean,tropical,tropical,tropical,0.01,61.111,0.01,38.889
ATG,Antigua and Barbuda,Caribbean,Caribbean,tropical,tropical,tropical,11.364,18.591,9.091,60.955
ARG,Argentina,S America,S America,mostly,temperate,temperate,12.314,10.48,27.289,49.917
ARM,Armenia,W Asia,W Asia,highland,continental,continental,17.738,11.545,41.166,16.653
ABW,Aruba,Caribbean,Caribbean,tropical,tropical,tropical,11.111,2.333,0.01,86.556
AUS,Australia,Oceania,Oceania,semiarid,dry,dry,4.02,17.421,43.104,32.683
AUT,Austria,Europe,W Europe,temperate,temperate,continental,16.873,47.207,15.255,20.664
AZE,Azerbaijan,W Asia,W Asia,dry,dry,dry,28.509,13.553,29.32,28.619
BHS,Bahamas,Caribbean,Caribbean,dry,dry,dry,1.199,50.935,0.2,47.666
BHR,Bahrain,Middle East,W Asia,arid,dry,dry,5.875,0.868,5.109,88.148
BGD,Bangladesh,Asia,S Asia,tropical,tropical,tropical,67.581,14.469,4.609,13.341
BRB,Barbados,Caribbean,Caribbean,tropical,tropical,tropical,18.605,14.651,4.651,62.093
BLR,Belarus,Europe,E Europe,cold,continental,continental,28.675,43.126,12.652,15.532
BEL,Belgium,Europe,W Europe,temperate,temperate,temperate,29.094,22.764,15.702,32.364
BLZ,Belize,C America,C America,tropical,tropical,tropical,5.349,56.476,2.192,35.984
BEN,Benin,Africa,W Africa,tropical,tropical,tropical,30.153,28.247,4.878,36.723
BMU,Bermuda,Caribbean,Caribbean,subtropical,tropical,temperate,5.556,18.519,0.01,75.926
BTN,Bhutan,Asia,S Asia,varies,varies,temperate,2.622,71.397,10.829,15.152
BOL,Bolivia,S America,S America,varies,varies,tropical,4.419,47.11,30.462,18.009
BIH,Bosnia and Herzegovina,Europe,S Europe,hot,dry,continental,21.895,42.733,21.387,13.986
BWA,Botswana,Africa,S Africa,semiarid,dry,dry,0.462,27.126,45.171,27.24
BRA,Brazil,S America,S America,mostly,tropical,tropical,7.6,59.559,20.742,12.1
VGB,British Virgin Islands,Caribbean,Caribbean,subtropical,tropical,tropical,13.333,24.133,33.333,29.2
BRN,Brunei Darussalam,SE Asia,SE Asia,tropical,tropical,tropical,1.898,72.106,0.645,25.351
BGR,Bulgaria,Europe,E Europe,temperate,temperate,continental,33.429,35.741,12.97,17.861
BFA,Burkina Faso,Africa,W Africa,tropical,tropical,dry,22.295,22.904,21.93,32.871
BDI,Burundi,Africa,C Africa,equatorial,tropical,temperate,60.358,10.889,18.808,9.944
CPV,Cabo Verde,Africa,W Africa,equatorial,tropical,temperate,13.4,11.27,6.203,69.201
KHM,Cambodia,SE Asia,SE Asia,tropical,tropical,tropical,23.034,46.59,8.498,21.878
CMR,Cameroon,Africa,C Africa,varies,tropical,tropical,16.395,43.148,4.231,36.226
CAN,Canada,N America,N America,varies,varies,continental,4.329,38.7,2.157,54.684
CYM,Cayman Islands,Caribbean,Caribbean,tropical,tropical,tropical,2.917,53,8.333,35.75
CAF,Central African Republic,Africa,C Africa,tropical,tropical,tropical,3.018,35.849,5.137,55.997
TCD,Chad,Africa,C Africa,tropical,tropical,temperate,4.16,3.512,35.737,56.591
CHL,Chile,S America,S America,temperate,temperate,temperate,2.227,24.327,18.849,54.597
CHN,China,Asia,E Asia,extremely,varies,dry,14.396,23.141,41.681,20.782
COL,Colombia,S America,S America,tropical,tropical,temperate,8.898,53.485,35.894,1.724
COM,Comoros,Africa,E Africa,tropical,tropical,tropical,62.332,17.926,8.06,11.682
COG,Congo,Africa,C Africa,tropical,tropical,tropical,1.839,64.307,29.283,4.571
COK,Cook Islands,Oceania,Oceania,tropical,tropical,tropical,6.25,64.958,0.01,28.792
CRI,Costa Rica,C America,C America,tropical,tropical,temperate,11.271,59.117,23.502,6.11
