"Country","CountName","Ara","For","Mea","Oth"
"ABW",NA,11.111,2.333,0,86.556
"AFG",NA,12.281,1.853,45.996,39.87
"AGO",NA,4.183,53.872,41.5,0.445
"AIA",NA,0,61.111,0,38.889
"ALB",NA,25.401,28.792,17.445,28.288
"AND",NA,1.702,34.043,38.298,25.957
"ARE",NA,1.273,4.468,4.224,90.024
"ARG",NA,12.314,10.48,27.289,49.917
"ARM",NA,17.738,11.545,41.166,16.653
"ASM",NA,19.7,85.8,0.35,0
"ATG",NA,11.364,18.591,9.091,60.955
"AUS",NA,4.02,17.421,43.104,32.683
"AUT",NA,16.873,47.207,15.255,20.664
"AZE",NA,28.509,13.553,29.32,28.619
"BDI",NA,60.358,10.889,18.808,9.944
"BEL",NA,29.094,22.764,15.702,32.364
"BEN",NA,30.153,28.247,4.878,36.723
"BFA",NA,22.295,22.904,21.93,32.871
"BGD",NA,67.581,14.469,4.609,13.341
"BGR",NA,33.429,35.741,12.97,17.861
"BHR",NA,5.875,0.868,5.109,88.148
"BHS",NA,1.199,50.935,0.2,47.666
"BIH",NA,21.895,42.733,21.387,13.986
"BLR",NA,28.675,43.126,12.652,15.532
"BLZ",NA,5.349,56.476,2.192,35.984
"BMU",NA,5.556,18.519,0,75.926
"BOL",NA,4.419,47.11,30.462,18.009
"BRA",NA,7.6,59.559,20.742,12.1
"BRB",NA,18.605,14.651,4.651,62.093
"BRN",NA,1.898,72.106,0.645,25.351
"BTN",NA,2.622,71.397,10.829,15.152
"BWA",NA,0.462,27.126,45.171,27.24
"CAF",NA,3.018,35.849,5.137,55.997
"CAN",NA,4.329,38.7,2.157,54.684
"CHE",NA,10.725,32.029,27.415,29.153
"CHL",NA,2.227,24.327,18.849,54.597
"CHN",NA,14.396,23.141,41.681,20.782
"CMR",NA,16.395,43.148,4.231,36.226
"COD",NA,5.867,56.133,8.028,29.972
"COG",NA,1.839,64.307,29.283,4.571
"COK",NA,6.25,64.958,0,28.792
"COL",NA,8.898,53.485,35.894,1.724
"COM",NA,62.332,17.926,8.06,11.682
"CPV",NA,13.4,11.27,6.203,69.201
"CRI",NA,11.271,59.117,23.502,6.11
"CUB",NA,35.285,31.233,26.382,7.1
"CYM",NA,2.917,53,8.333,35.75
"CYP",NA,13.38,18.674,0.169,67.745
"CZE",NA,32.793,34.651,12.847,19.709
"DEU",NA,34.097,32.683,13.598,14.909
"DJI",NA,0.086,0.246,73.339,26.329
"DMA",NA,30.667,63.827,2.667,2.84
"DNK",NA,60.483,15.688,5.175,18.653
"DOM",NA,25.502,44.215,24.777,5.506
"DZA",NA,3.576,0.814,13.789,81.821
"ECU",NA,9.78,50.58,11.681,27.959
"EGY",NA,3.854,0.045,0,96.101
"ERI",NA,5.711,8.734,56.941,28.614
"ESP",NA,33.548,37.168,18.91,10.374
"EST",NA,16.029,56.094,6.71,21.169
"ETH",NA,15.864,15.189,17.722,51.226
"FIN",NA,7.403,73.731,0.079,18.787
"FJI",NA,13.684,62.033,9.579,14.705
"FLK",NA,0,0,92.827,7.173
"FRA",NA,34.837,31.357,17.433,16.373
"FRO",NA,2.149,0.057,0,97.794
"FSM",NA,27.143,91.986,4.286,0
"GAB",NA,1.921,91.367,6.666,0.046
"GBR",NA,25.344,13.153,47.079,13.207
"GEO",NA,6.156,40.616,27.918,25.31
"GHA",NA,22.945,35.064,32.446,9.545
"GIB",NA,0,0,0,100
"GIN",NA,15.465,25.35,43.546,15.64
"GLP",NA,15.525,44.432,15.16,24.883
"GMB",NA,43.972,24.545,15.81,15.672
"GNB",NA,19.559,70.713,9.428,0.3
"GNQ",NA,6.417,87.586,3.708,2.289
"GRC",NA,24.993,30.27,22.358,22.332
"GRD",NA,20.588,52.059,2.941,24.412
"GRL",NA,0,0.001,0.592,99.407
"GTM",NA,19.084,33.029,16.9,30.987
"GUM",NA,14.815,51.852,14.815,18.519
"GUY",NA,2.337,93.597,3.969,0.098
"HND",NA,14.264,57.022,17.115,11.599
"HRV",NA,16.028,34.605,10.846,36.352
"HTI",NA,48.984,12.714,17.779,20.522
"HUN",NA,49.178,22.512,8.657,17.264
"IDN",NA,27.323,49.394,5.859,17.424
"IND",NA,56.948,24.181,3.451,15.42
"IRL",NA,6.445,11.294,59.225,23.036
"IRN",NA,10.766,6.596,18.098,64.54
"IRQ",NA,12.093,1.9,9.214,76.793
"ISL",NA,1.2,0.503,17.366,80.931
"ISR",NA,22.107,6.47,7.394,64.03
"ITA",NA,31.547,32.167,12.823,23.365
"JAM",NA,19.852,54.755,21.145,4.247
"JOR",NA,3.247,1.098,8.356,87.299
"JPN",NA,12.063,68.409,0,19.528
"KAZ",NA,11.108,1.269,68.328,19.295
"KEN",NA,11.122,6.345,37.425,45.108
"KGZ",NA,7.112,6.763,46.947,39.179
"KHM",NA,23.034,46.59,8.498,21.878
"KIR",NA,41.975,1.457,0,56.568
"KNA",NA,19.615,42.308,3.462,34.615
