COU,Country,VAR,Variable,Landuse
ABW,Aruba,Ara,Arable and cropland % land area,11.111
ABW,Aruba,For,Forest % land area,2.333
ABW,Aruba,Oth,Other % land area,86.556
AFG,Afghanistan,Ara,Arable and cropland % land area,12.281
AFG,Afghanistan,For,Forest % land area,1.853
AFG,Afghanistan,Mea,Meadows and pastures % land area,45.996
AFG,Afghanistan,Oth,Other % land area,39.87
AGO,Angola,Ara,Arable and cropland % land area,4.183
AGO,Angola,For,Forest % land area,53.872
AGO,Angola,Mea,Meadows and pastures % land area,41.5
AGO,Angola,Oth,Other % land area,0.445
AIA,Anguilla,For,Forest % land area,61.111
AIA,Anguilla,Oth,Other % land area,38.889
ALB,Albania,Ara,Arable and cropland % land area,25.401
ALB,Albania,For,Forest % land area,28.792
ALB,Albania,Mea,Meadows and pastures % land area,17.445
ALB,Albania,Oth,Other % land area,28.288
AND,Andorra,Ara,Arable and cropland % land area,1.702
AND,Andorra,For,Forest % land area,34.043
AND,Andorra,Mea,Meadows and pastures % land area,38.298
AND,Andorra,Oth,Other % land area,25.957
ARE,United Arab Emirates,Ara,Arable and cropland % land area,1.273
ARE,United Arab Emirates,For,Forest % land area,4.468
ARE,United Arab Emirates,Mea,Meadows and pastures % land area,4.224
ARE,United Arab Emirates,Oth,Other % land area,90.024
ARG,Argentina,Ara,Arable and cropland % land area,12.314
ARG,Argentina,For,Forest % land area,10.48
ARG,Argentina,Mea,Meadows and pastures % land area,27.289
ARG,Argentina,Oth,Other % land area,49.917
ARM,Armenia,Ara,Arable and cropland % land area,17.738
ARM,Armenia,For,Forest % land area,11.545
ARM,Armenia,Mea,Meadows and pastures % land area,41.166
ARM,Armenia,Oth,Other % land area,16.653
ASM,American Samoa,Ara,Arable and cropland % land area,19.7
ASM,American Samoa,For,Forest % land area,85.8
ASM,American Samoa,Mea,Meadows and pastures % land area,0.35
ATG,Antigua and Barbuda,Ara,Arable and cropland % land area,11.364
ATG,Antigua and Barbuda,For,Forest % land area,18.591
ATG,Antigua and Barbuda,Mea,Meadows and pastures % land area,9.091
ATG,Antigua and Barbuda,Oth,Other % land area,60.955
AUS,Australia,Ara,Arable and cropland % land area,4.02
AUS,Australia,For,Forest % land area,17.421
AUS,Australia,Mea,Meadows and pastures % land area,43.104
AUS,Australia,Oth,Other % land area,32.683
AUT,Austria,Ara,Arable and cropland % land area,16.873
AUT,Austria,For,Forest % land area,47.207
AUT,Austria,Mea,Meadows and pastures % land area,15.255
AUT,Austria,Oth,Other % land area,20.664
AZE,Azerbaijan,Ara,Arable and cropland % land area,28.509
AZE,Azerbaijan,For,Forest % land area,13.553
AZE,Azerbaijan,Mea,Meadows and pastures % land area,29.32
AZE,Azerbaijan,Oth,Other % land area,28.619
BDI,Burundi,Ara,Arable and cropland % land area,60.358
BDI,Burundi,For,Forest % land area,10.889
BDI,Burundi,Mea,Meadows and pastures % land area,18.808
BDI,Burundi,Oth,Other % land area,9.944
BEL,Belgium,Ara,Arable and cropland % land area,29.094
BEL,Belgium,For,Forest % land area,22.764
BEL,Belgium,Mea,Meadows and pastures % land area,15.702
BEL,Belgium,Oth,Other % land area,32.364
BEN,Benin,Ara,Arable and cropland % land area,30.153
BEN,Benin,For,Forest % land area,28.247
BEN,Benin,Mea,Meadows and pastures % land area,4.878
BEN,Benin,Oth,Other % land area,36.723
BFA,Burkina Faso,Ara,Arable and cropland % land area,22.295
BFA,Burkina Faso,For,Forest % land area,22.904
BFA,Burkina Faso,Mea,Meadows and pastures % land area,21.93
BFA,Burkina Faso,Oth,Other % land area,32.871
BGD,Bangladesh,Ara,Arable and cropland % land area,67.581
BGD,Bangladesh,For,Forest % land area,14.469
BGD,Bangladesh,Mea,Meadows and pastures % land area,4.609
BGD,Bangladesh,Oth,Other % land area,13.341
BGR,Bulgaria,Ara,Arable and cropland % land area,33.429
BGR,Bulgaria,For,Forest % land area,35.741
BGR,Bulgaria,Mea,Meadows and pastures % land area,12.97
BGR,Bulgaria,Oth,Other % land area,17.861
BHR,Bahrain,Ara,Arable and cropland % land area,5.875
BHR,Bahrain,For,Forest % land area,0.868
BHR,Bahrain,Mea,Meadows and pastures % land area,5.109
BHR,Bahrain,Oth,Other % land area,88.148
BHS,Bahamas,Ara,Arable and cropland % land area,1.199
BHS,Bahamas,For,Forest % land area,50.935
BHS,Bahamas,Mea,Meadows and pastures % land area,0.2
BHS,Bahamas,Oth,Other % land area,47.666
BIH,Bosnia and Herzegovina,Ara,Arable and cropland % land area,21.895
BIH,Bosnia and Herzegovina,For,Forest % land area,42.733
BIH,Bosnia and Herzegovina,Mea,Meadows and pastures % land area,21.387
BIH,Bosnia and Herzegovina,Oth,Other % land area,13.986
BLR,Belarus,Ara,Arable and cropland % land area,28.675
BLR,Belarus,For,Forest % land area,43.126
BLR,Belarus,Mea,Meadows and pastures % land area,12.652
BLR,Belarus,Oth,Other % land area,15.532
BLZ,Belize,Ara,Arable and cropland % land area,5.349
BLZ,Belize,For,Forest % land area,56.476
BLZ,Belize,Mea,Meadows and pastures % land area,2.192
BLZ,Belize,Oth,Other % land area,35.984
BMU,Bermuda,Ara,Arable and cropland % land area,5.556
BMU,Bermuda,For,Forest % land area,18.519
BMU,Bermuda,Oth,Other % land area,75.926
BOL,Bolivia,Ara,Arable and cropland % land area,4.419
BOL,Bolivia,For,Forest % land area,47.11
BOL,Bolivia,Mea,Meadows and pastures % land area,30.462
BOL,Bolivia,Oth,Other % land area,18.009
BRA,Brazil,Ara,Arable and cropland % land area,7.6
BRA,Brazil,For,Forest % land area,59.559
BRA,Brazil,Mea,Meadows and pastures % land area,20.742
BRA,Brazil,Oth,Other % land area,12.1
BRB,Barbados,Ara,Arable and cropland % land area,18.605
BRB,Barbados,For,Forest % land area,14.651
BRB,Barbados,Mea,Meadows and pastures % land area,4.651
BRB,Barbados,Oth,Other % land area,62.093
BRN,Brunei Darussalam,Ara,Arable and cropland % land area,1.898
BRN,Brunei Darussalam,For,Forest % land area,72.106
BRN,Brunei Darussalam,Mea,Meadows and pastures % land area,0.645
BRN,Brunei Darussalam,Oth,Other % land area,25.351
BTN,Bhutan,Ara,Arable and cropland % land area,2.622
BTN,Bhutan,For,Forest % land area,71.397
BTN,Bhutan,Mea,Meadows and pastures % land area,10.829
BTN,Bhutan,Oth,Other % land area,15.152
BWA,Botswana,Ara,Arable and cropland % land area,0.462
BWA,Botswana,For,Forest % land area,27.126
BWA,Botswana,Mea,Meadows and pastures % land area,45.171
BWA,Botswana,Oth,Other % land area,27.24
CAF,Central African Republic,Ara,Arable and cropland % land area,3.018
CAF,Central African Republic,For,Forest % land area,35.849
CAF,Central African Republic,Mea,Meadows and pastures % land area,5.137
CAF,Central African Republic,Oth,Other % land area,55.997
CAN,Canada,Ara,Arable and cropland % land area,4.329
CAN,Canada,For,Forest % land area,38.7
CAN,Canada,Mea,Meadows and pastures % land area,2.157
CAN,Canada,Oth,Other % land area,54.684
CHE,Switzerland,Ara,Arable and cropland % land area,10.725
CHE,Switzerland,For,Forest % land area,32.029
CHE,Switzerland,Mea,Meadows and pastures % land area,27.415
CHE,Switzerland,Oth,Other % land area,29.153
CHL,Chile,Ara,Arable and cropland % land area,2.227
CHL,Chile,For,Forest % land area,24.327
CHL,Chile,Mea,Meadows and pastures % land area,18.849
CHL,Chile,Oth,Other % land area,54.597
CHN,China,Ara,Arable and cropland % land area,14.396
CHN,China,For,Forest % land area,23.141
CHN,China,Mea,Meadows and pastures % land area,41.681
CHN,China,Oth,Other % land area,20.782
CMR,Cameroon,Ara,Arable and cropland % land area,16.395
CMR,Cameroon,For,Forest % land area,43.148
CMR,Cameroon,Mea,Meadows and pastures % land area,4.231
CMR,Cameroon,Oth,Other % land area,36.226
COD,Democratic Republic of the Congo,Ara,Arable and cropland % land area,5.867
COD,Democratic Republic of the Congo,For,Forest % land area,56.133
COD,Democratic Republic of the Congo,Mea,Meadows and pastures % land area,8.028
COD,Democratic Republic of the Congo,Oth,Other % land area,29.972
COG,Congo,Ara,Arable and cropland % land area,1.839
COG,Congo,For,Forest % land area,64.307
COG,Congo,Mea,Meadows and pastures % land area,29.283
COG,Congo,Oth,Other % land area,4.571
COK,Cook Islands,Ara,Arable and cropland % land area,6.25
COK,Cook Islands,For,Forest % land area,64.958
COK,Cook Islands,Oth,Other % land area,28.792
COL,Colombia,Ara,Arable and cropland % land area,8.898
COL,Colombia,For,Forest % land area,53.485
COL,Colombia,Mea,Meadows and pastures % land area,35.894
COL,Colombia,Oth,Other % land area,1.724
COM,Comoros,Ara,Arable and cropland % land area,62.332
COM,Comoros,For,Forest % land area,17.926
COM,Comoros,Mea,Meadows and pastures % land area,8.06
COM,Comoros,Oth,Other % land area,11.682
CPV,Cabo Verde,Ara,Arable and cropland % land area,13.4
CPV,Cabo Verde,For,Forest % land area,11.27
CPV,Cabo Verde,Mea,Meadows and pastures % land area,6.203
CPV,Cabo Verde,Oth,Other % land area,69.201
CRI,Costa Rica,Ara,Arable and cropland % land area,11.271
CRI,Costa Rica,For,Forest % land area,59.117
CRI,Costa Rica,Mea,Meadows and pastures % land area,23.502
CRI,Costa Rica,Oth,Other % land area,6.11
CUB,Cuba,Ara,Arable and cropland % land area,35.285
CUB,Cuba,For,Forest % land area,31.233
CUB,Cuba,Mea,Meadows and pastures % land area,26.382
CUB,Cuba,Oth,Other % land area,7.1
CYM,Cayman Islands,Ara,Arable and cropland % land area,2.917
CYM,Cayman Islands,For,Forest % land area,53
CYM,Cayman Islands,Mea,Meadows and pastures % land area,8.333
CYM,Cayman Islands,Oth,Other % land area,35.75
CYP,Cyprus,Ara,Arable and cropland % land area,13.38
CYP,Cyprus,For,Forest % land area,18.674
