"Country","CountName","Ara","For","Mea","Oth"
"ABW","Aruba",11.111,2.333,0.01,86.556
"AFG","Afghanistan",12.281,1.853,45.996,39.87
"AGO","Angola",4.183,53.872,41.5,0.445
"AIA","Anguilla",0.01,61.111,0.01,38.889
"ALB","Albania",25.401,28.792,17.445,28.288
"AND","Andorra",1.702,34.043,38.298,25.957
"ARE","United Arab Emirates",1.273,4.468,4.224,90.024
"ARG","Argentina",12.314,10.48,27.289,49.917
"ARM","Armenia",17.738,11.545,41.166,16.653
"ASM","American Samoa",19.7,85.8,0.35,0.01
"ATG","Antigua and Barbuda",11.364,18.591,9.091,60.955
"AUS","Australia",4.02,17.421,43.104,32.683
"AUT","Austria",16.873,47.207,15.255,20.664
"AZE","Azerbaijan",28.509,13.553,29.32,28.619
"BDI","Burundi",60.358,10.889,18.808,9.944
"BEL","Belgium",29.094,22.764,15.702,32.364
"BEN","Benin",30.153,28.247,4.878,36.723
"BFA","Burkina Faso",22.295,22.904,21.93,32.871
"BGD","Bangladesh",67.581,14.469,4.609,13.341
"BGR","Bulgaria",33.429,35.741,12.97,17.861
"BHR","Bahrain",5.875,0.868,5.109,88.148
"BHS","Bahamas",1.199,50.935,0.2,47.666
"BIH","Bosnia and Herzegovina",21.895,42.733,21.387,13.986
"BLR","Belarus",28.675,43.126,12.652,15.532
"BLZ","Belize",5.349,56.476,2.192,35.984
"BMU","Bermuda",5.556,18.519,0.01,75.926
"BOL","Bolivia",4.419,47.11,30.462,18.009
"BRA","Brazil",7.6,59.559,20.742,12.1
"BRB","Barbados",18.605,14.651,4.651,62.093
"BRN","Brunei Darussalam",1.898,72.106,0.645,25.351
"BTN","Bhutan",2.622,71.397,10.829,15.152
"BWA","Botswana",0.462,27.126,45.171,27.24
"CAF","Central African Republic",3.018,35.849,5.137,55.997
"CAN","Canada",4.329,38.7,2.157,54.684
"CHE","Switzerland",10.725,32.029,27.415,29.153
"CHL","Chile",2.227,24.327,18.849,54.597
"CHN","China",14.396,23.141,41.681,20.782
"CMR","Cameroon",16.395,43.148,4.231,36.226
"COD","Democratic Republic of the Congo",5.867,56.133,8.028,29.972
"COG","Congo",1.839,64.307,29.283,4.571
"COK","Cook Islands",6.25,64.958,0.01,28.792
"COL","Colombia",8.898,53.485,35.894,1.724
"COM","Comoros",62.332,17.926,8.06,11.682
"CPV","Cabo Verde",13.4,11.27,6.203,69.201
"CRI","Costa Rica",11.271,59.117,23.502,6.11
"CUB","Cuba",35.285,31.233,26.382,7.1
"CYM","Cayman Islands",2.917,53,8.333,35.75
"CYP","Cyprus",13.38,18.674,0.169,67.745
