"Year","LF3","LF3B","LF5","Easting","Northing","Latitude","Longitude","Depth.upper","Depth.lower","Depth.mean","Gravel","Sand.raw","Silt.raw","Clay.raw","Sand","Silt","Clay","Bulk.density","C.pct","N.pct","C.N.ratio","pH.H2O","pH.CaCl2","EC","CEC"
"2015","Erosional","Erosional","US",498504,6406727,116.984079,-32.4766694,0,15,7.5,11.08,88,8,4,78.2,7.1,3.6,1.52,2.09,0.1,20.91,5.65,4.9,53.8,3.5
"2015","Erosional","Erosional","US",498440,6406561,116.983398,-32.4781668,0,15,7.5,14.87,84.25,14,1.75,71.7,11.9,1.5,1.66,1.23,0.06,19.76,6.26,5.06,74.2,3.98
"2015","Depositional","Depositional","VF",499026,6406415,116.989634,-32.4794845,0,20,10,0.1,78.5,9.25,12.25,78.5,9.25,12.25,1.06,2.58,0.18,14.23,6.2,4.84,101.4,9.42
"2015","Depositional","Depositional","VF",498987,6406365,116.989219,-32.4799356,0,27.5,13.75,0.1,84.25,8.5,7.25,84.25,8.5,7.25,1.49,6.76,0.26,26.49,5.6,4.71,251.8,7.15
"2015","Residual","Residual","RE",498600,6406830,116.985101,-32.4757403,0,20,10,0.1,80,7.75,12.25,80,7.75,12.25,1.08,13,0.44,29.47,5.05,4.35,445,3.74
"2015","Erosional","Erosional","US",499879,6406404,116.998712,-32.4795842,2,3,2.5,3.55,75,12.5,12.5,72.3,12.1,12.1,1.01,5.43,0.28,19.16,5.3,4.5,78.4,4.58
"2015","Residual","Residual","RE",499705.064,6406558.051,116.996861,-32.478194,5,12,8.5,4.03,92.5,7.5,0.1,88.8,7.2,0.1,1.47,3.41,0.08,42.94,5.87,4.37,24.4,2.06
"2015","Residual","Residual","RE",499313.553,6406613.457,116.992695,-32.4776941,0,15,7.5,24.6,90,5,5,67.9,3.8,3.8,1.3,3.96,0.13,31.22,5.5,4.23,17.7,1.47
"2015","Residual","Residual","RE",499579.785,6406484.146,116.995528,-32.4788615,0,20,10,37.54,72.5,10,17.5,45.3,6.2,10.9,0.99,18.11,0.49,36.93,5.85,4.4,31.1,6.53
"2015","Erosional","Depositional","LS",500015,6405982,117.00016,-32.4833911,0,10,5,17,83.13,7.25,9.63,69,6,8,1.41,2.42,0.12,20.44,5.13,4.71,157.7,4.84
"2015","Depositional","Depositional","VF",499989,6406157,116.999883,-32.4818124,0,15,7.5,13,86.62,5.13,8.25,75.4,4.5,7.2,1.6,1.44,0.09,15.51,5.27,4.09,30.9,4.18
"2015","Erosional","Erosional","MS",499969,6407026,116.99967,-32.4739731,0,25,12.5,31,81.5,8.63,9.82,56.2,6,6.8,1.31,3.96,0.26,15.2,5.43,4.79,87.1,5.02
"2015","Erosional","Erosional","US",499814,6406782,116.998021,-32.4761742,0,10,5,5,68.86,17.46,13.68,65.4,16.6,13,1.08,4.59,0.26,17.43,6.45,5.68,121.8,6.25
"2015","Erosional","Depositional","LS",498296,6404061,116.98186,-32.5007194,0,10,5,35.73,87.45,7.83,4.72,56.2,5,3,1.53,2.78,0.21,13.24,5.8,5,63,8.25
"2015","Erosional","Depositional","LS",498296,6404061,116.98186,-32.5007194,10,27,18.5,52.29,91.4,4.08,4.52,43.6,1.9,2.2,1.74,3.97,0.11,36.09,6.5,5.09,509,7.72
"2015","Residual","Residual","RE",499746,6406602,116.997297,-32.477798,2,14,8,11.69,89.25,7.25,3.5,78.8,6.4,3.1,1.39,1.94,0.05,38.8,5.58,4.68,46,4.07
"2015","Residual","Residual","RE",499399,6406493,116.993604,-32.478781,0,6,3,18.16,65.7,17.27,17.03,53.7,14.1,13.9,0.82,7.42,0.24,30.92,3.78,3.83,4600,2.96
"2015","Residual","Residual","RE",499753,6406606,116.997371,-32.4777619,0.2,20,10.1,8.19,39.42,15.89,44.69,36.2,14.6,41,1.31,3.41,0.1,34.1,4.21,3.91,1188,3.53
"2015","Residual","Residual","RE",499710,6406793,116.996914,-32.476075,0,15,7.5,14.59,71.25,13,15.75,60.8,11.1,13.5,1.09,5.18,0.17,30.47,4.95,4.5,1090,3.91
"2015","Depositional","Depositional","VF",499936,6406181,116.999319,-32.4815959,0,14,7,11.42,70.5,18.25,11.25,62.5,16.2,10,1.22,1.65,0.09,18.33,5.77,5.73,546,5.33
"2015","Erosional","Depositional","LS",496044,6404560,116.957889,-32.4962121,0,18,9,13.4,89.08,5.14,5.79,77.1,4.5,5,1.62,1.48,0.08,18.5,4.92,4.36,2280,1.5
"2015","Residual","Residual","RE",497240,6404609,116.970621,-32.4957737,0,15,7.5,53.21,86.6,7.07,6.33,40.5,3.3,3,1.56,2.45,0.14,17.5,5.34,4.96,2283,3.71
"2015","Erosional","Depositional","LS",496745,6404980,116.965353,-32.4924255,0,12,6,4.92,89.91,4.25,5.83,85.5,4,5.5,1.5,2.45,0.16,15.31,5.5,4.8,183,4.55
"2015","Erosional","Erosional","US",497397,6405407,116.972294,-32.4885752,0,15,7.5,10.82,76.48,6.91,16.61,68.2,6.2,14.8,1.51,2.16,0.16,13.5,5.2,4.85,260.6,3.96
"2015","Erosional","Erosional","US",497226,6405223,116.970473,-32.4902347,0,32,16,9.12,67.86,10.41,21.73,61.7,9.5,19.7,1.12,6.61,0.58,11.4,5.95,5.47,1280,3.05
"2015","Residual","Residual","RE",497216,6404807,116.970366,-32.4939874,0,57,28.5,15.89,60,16.28,23.72,50.5,13.7,20,1.5,3.54,0.32,11.06,5.42,4.91,606,8.83
"2015","Erosional","Erosional","US",497366,6404510,116.971962,-32.4966671,0,15,7.5,18.92,88.76,5.58,5.66,72,4.5,4.6,1.38,2.87,0.16,17.94,5.9,5,62.9,3.16
"2015","Residual","Residual","RE",497376,6404935,116.972069,-32.4928331,0,18,9,16.92,88.36,6.4,5.25,73.4,5.3,4.4,1.31,1.96,0.1,19.6,5.64,4.66,24.5,0.43
"2015","Erosional","Depositional","LS",498720,6405407,116.986376,-32.4885775,0,20,10,6.53,96.69,1.27,2.04,90.4,1.2,1.9,1.07,1.69,0.12,14.12,6.3,5,297,3.69
"2015","Erosional","Erosional","US",498095,6405134,116.979723,-32.4910394,0,12,6,16.99,67.11,25.12,7.77,55.7,20.9,6.5,1.29,3.11,0.29,10.72,6.06,5.06,99.5,11.02
"2015","Erosional","Erosional","US",498149,6404827,116.980297,-32.493809,0,15,7.5,14.02,82.89,6.13,10.98,71.3,5.3,9.4,1.38,2.66,0.25,10.64,5.9,5.15,191.1,7.18
"2015","Residual","Residual","RE",498226,6405423,116.981118,-32.4884325,0,50,25,25.41,78.27,10.32,11.41,58.4,7.7,8.5,0.57,0.46,0.02,23,5.83,4.87,39.3,11.02
"2015","Residual","Residual","RE",498278,6405414,116.981671,-32.4885138,0,16,8,19.65,61.35,27.08,11.57,49.3,21.8,9.3,0.53,2.1,0.62,3.39,4.52,4.26,2087,3.27
"2015","Erosional","Erosional","US",498349,6405394,116.982427,-32.4886943,0,20,10,17.25,77.08,11.94,10.97,63.8,9.9,9.1,1.04,2.8,0.2,14,4.25,4.23,805,2.39
"2015","Depositional","Depositional","VF",499277,6404883,116.992304,-32.4933051,13,30,21.5,8.08,83.08,9.59,7.32,76.4,8.8,6.7,1.27,0.61,0.06,10.17,6.44,5.21,185.1,4.2
"2015","Erosional","Erosional","MS",498997,6404745,116.989324,-32.4945498,0,15,7.5,10.26,88.48,6.14,5.38,79.4,5.5,4.8,1.34,1.45,0.11,13.18,5.62,4.71,87.3,3.71
"2016","Depositional","Depositional","VF",497927,6406410,116.977938,-32.4795281,0,15,7.5,11.24,93.2,4.75,2.05,82.7,4.2,1.8,1.33,1.93,0.21,9.19,5.7,4.6,92,3.19
"2016","Depositional","Depositional","VF",497283,6403755,116.971076,-32.5034778,0,24,12,10.69,84.97,5.19,9.84,75.9,4.6,8.8,1.43,1.21,0.08,15.13,4.97,4.11,84.3,11.99
"2016","Erosional","Depositional","LS",497514,6403540,116.973534,-32.5054179,0,15,7.5,10.97,89.19,3.52,7.29,79.4,3.1,6.5,1.51,1.4,0.09,15.56,5.39,4.2,153,11.77
"2016","Erosional","Depositional","LS",497514,6403540,116.973534,-32.5054179,15,23,19,10.25,86.94,5.98,7.07,78,5.4,6.3,1.55,0.51,0.04,12.75,5.41,4.44,45,8.49
"2016","Depositional","Depositional","VF",496001,6403978,116.957429,-32.5014622,0,10,5,7.7,93,4.7,2.2,85.8,4.3,2,1.46,2.01,0.16,12.56,5.45,4.54,763,4.44
"2016","Erosional","Depositional","LS",497352,6403626,116.97181,-32.5046417,0,15,7.5,9.88,86,6.6,7.4,77.5,5.9,6.7,1.59,1.56,0.12,13,5.3,4.91,154,4.03
"2016","Depositional","Depositional","VF",495711,6403941,116.954342,-32.5017949,0,14,7,1.94,82.6,8.7,8.7,81,8.5,8.5,1.32,3.17,0.29,10.93,6.52,5.24,223.3,13.16
"2016","Depositional","Depositional","VF",495765,6404195,116.954918,-32.4995038,0,15,7.5,19.64,72.4,11.9,15.7,58.2,9.6,12.6,1.44,2.91,0.23,12.65,6.62,6.19,1577,13.16
"2016","Erosional","Depositional","LS",496884,6403490,116.966827,-32.5058673,0,10,5,8.41,94,0.5,5.5,86.1,0.5,5,1.62,2.2,0.15,14.67,5.83,5.2,225.9,4.52
"2016","Erosional","Depositional","LS",497268,6404131,116.970917,-32.5000858,0,5,2.5,8.8,89.9,3.8,6.3,82,3.5,5.7,1.45,1.88,0.14,13.43,6.76,5.9,108.5,4.52
"2016","Erosional","Depositional","LS",496653,6404196,116.964371,-32.4994978,0,17,8.5,11.62,91.2,5,3.8,80.6,4.4,3.4,1.54,1.6,0.11,14.55,5.43,4.61,107.8,2.8
"2016","Depositional","Depositional","VF",496840,6404334,116.966362,-32.4982534,0,20,10,7.85,75.2,11.4,13.4,69.3,10.5,12.3,1.16,4.21,0.27,15.59,5.24,4.8,144.7,7.43
"2017","Erosional","Depositional","LS",495983,6404204,116.9572,-32.49942,0,18,9,7.35,83.4,10.3,6.3,77.3,9.5,5.8,1.15,1.17,0.09,12.58,5.6,4.54,92.3,4.2
"2017","Erosional","Depositional","LS",496419,6404110,116.9619,-32.50027,0,17,8.5,5.03,91.49,4.25,4.25,86.9,4,4,1.38,1.31,0.11,12.15,4.65,4.05,217.2,2
"2017","Erosional","Erosional","MS",495625,6403350,116.9534,-32.50713,0,15,7.5,5.64,90.2,4.5,5.3,85.1,4.2,5,1.38,1.75,0.15,11.91,4.85,4.1,155.2,3.7
"2017","Erosional","Depositional","LS",496030,6403765,116.9577,-32.50338,0,19,9.5,8.84,87.4,5.7,6.9,79.7,5.2,6.3,1.3,1.33,0.11,12.56,5.79,4.73,102.4,2.3
"2017","Erosional","Erosional","MS",496610,6403404,116.9639,-32.50664,0,5,2.5,5.81,85.18,9.55,5.28,80.2,9,5,1.29,1.57,0.12,13.08,5.72,5.26,271.5,6.1
"2017","Depositional","Depositional","VF",496759,6403845,116.9655,-32.50266,0,5,2.5,1.82,78.3,2.49,19.2,76.9,2.4,18.9,1.09,5.81,0.51,11.46,6.38,5.11,593,12.7
"2017","Erosional","Depositional","LS",496967,6403448,116.9677,-32.50625,0,16,8,4.63,87.2,5.4,7.4,83.2,5.1,7.1,1.33,1.79,0.13,14.15,5.79,5.01,103.8,3.44
"2017","Erosional","Depositional","LS",497263,6404153,116.9709,-32.49989,0,15,7.5,8.85,90.53,3.99,5.48,82.5,3.6,5,1.35,1.01,0.06,16.83,4.96,4.82,242,3.1
