ID,Country,State,Longitude,Latitude,Type,Rock,RockID,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,TiO2,CO2,H2O,As,Ba,Ce,Co,Cr,Cu,La,Ni,Pb,Sr,V,Y,Zn
C100668,USA,MI,-88.61555,48.09889,mafic,basalt,basalt,49.9,12.8,15.1,0.22,4.72,8.86,2.47,0.96,0.3,2.5,0.03,1.47,10,352,79,45,81,87,31,53,29,222,399,50,125
C100674,USA,MI,-88.45777,48.16944,felsic,rhyolite,rhyolite,60.5,14.3,6.68,0.1,3.56,2.73,5.1,2.29,0.11,0.9,0.06,1.73,10,846,123,23,82,37,50,86,22,340,115,75,71
C100675,USA,MI,-88.44167,48.175,mafic,basalt,basalt,48.8,16.3,12,0.16,4.3,6.84,4.16,1.45,0.24,1.96,0.02,2.27,10,493,54,34,98,74,20,37,21,443,270,35,92
C100676,USA,MI,-88.43194,48.17944,mafic,basalt,basalt,47.9,12.7,16.6,0.26,4.61,8.78,2.31,0.91,0.36,2.96,0.05,1.6,10,426,88,47,90,128,33,52,30,214,404,56,143
C100677,USA,MI,-88.44972,48.16333,mafic,basalt,basalt,47,16.6,11,0.13,5.39,9.1,4.17,0.14,0.19,1.51,0.08,2.87,10,37,36,40,165,44,14,63,21,144,281,28,97
C100680,USA,MI,-89.14916,47.92361,mafic,basalt,basalt,46.7,15.3,12.5,0.2,7.32,6.94,4.02,0.51,0.18,1.51,0.02,2.8,10,311,37,51,141,17,16,168,21,439,285,24,92
C100684,USA,MI,-88.33584,47.93222,felsic,rhyolite,rhyolite,62.8,13.1,7.3,0.11,2.67,2.66,3.6,3.65,0.14,0.98,0.02,1.2,10,1150,149,23,49,71,66,48,24,177,124,53,90
C100685,USA,MI,-89.04166,47.93611,mafic,basalt,basalt,48.4,16.4,12.7,0.18,4.4,7.15,3.96,1.44,0.26,2.11,0.03,2.07,10,311,53,37,82,55,20,42,26,411,301,36,96
C100687,USA,MI,-88.72778,47.97555,felsic,rhyolite,rhyolite,73.4,11.3,3.2,0.03,0.76,0.27,1.78,6.39,0.05,0.36,0.02,0.6,10,3550,139,2,12,2330,46,3,19,73,19,62,42
C119005,USA,WI,-91.26111,46.2,mafic,basalt,basalt,47.5,10.1,15.8,0.21,8.6,9.46,3.02,0.99,0.35,2.9,0.01,1.6,10,313,111,64,107,186,53,95,4,396,129,24,118
C119006,USA,WI,-91.26111,46.2,mafic,basalt,basalt,47,7.21,14.8,0.23,11.2,12.3,1.85,0.71,0.25,2.39,0.01,1.6,10,189,73,68,187,133,36,148,4,255,126,18,110
C119007,USA,WI,-90.86667,46.26666,felsic,granite,granite,74.5,12.7,1.09,0.01,0.49,0.55,2.96,5.9,0.09,0.16,0.01,0.2,10,1320,109,2,3,2,70,8,10,89,11,9,4
C119239,USA,WI,-90.81111,46.29722,mafic,gabbro,gabbro,41.9,9.47,23.8,0.28,18.2,4.75,1.34,0.17,0.13,0.88,0.02,1.33,10,70,14,138,121,154,3,668,4,124,92,10,135
C119240,USA,WI,-90.81111,46.29722,mafic,gabbro,gabbro,39.3,6.12,27.9,0.3,20.2,3.6,0.89,0.1,0.14,0.95,0.01,1.67,10,49,18,163,126,1880,4,999,4,81,92,10,150
C119241,USA,WI,-90.81111,46.29722,mafic,gabbro,gabbro,43.4,12.7,19.8,0.22,13.9,6.53,1.82,0.23,0.13,1.02,0.07,0.73,10,80,22,112,132,1390,5,682,4,160,130,14,110
